user,intent_num
너가 추천하는 메뉴는 뭐야?,4
추천하는 메뉴가 따로 있어?,4
다른 곳과 차별화된 대표 메뉴는 뭔가요?,5
전통적인 대표 메뉴는 어떤 건가요?,5
시그니처 메뉴 있어?,5
가게의 시그니처 메뉴 알려줘,5
매장 시그니쳐 메뉴 뭐야?,5
가게 고유의 메뉴가 있니?,5
고유 메뉴가 있어?,5
시그니처 음식 뭐 있어?,5
시그니처 메뉴 알려줄래?,5
매장의 시그니쳐 메뉴 뭐 있어?,5
가게 시그니처 메뉴 알려줘봐,5
가게만의 메뉴가 있어?,5
이 가게에서만 파는거 있어?,5
여기서만 판매하는 메뉴가 있니?,5
이 가게에만 파는거 뭐 있음?,5
메뉴판에서 눈에 띄는 대표 메뉴는 뭔가요?,5
고객들에게 가장 인기 있는 대표 메뉴는 뭔가요?,5
이곳에서 오래된 대표 메뉴는 뭐예요?,5
가장 자랑할 만한 대표 메뉴는 어떤 건가요?,5
대표 메뉴 알려줘,5
대표적인 메뉴 뭐 있어?,5
대표 메뉴를 알고 싶어,5
대표 메뉴 뭐 있는지 알려줄래?,5
매장의 대표 메뉴 있어?,5
점심시간에 잘 팔리는 대표 메뉴는요?,5
맛집으로 불리게 만든 대표 메뉴는 뭔가요?,5
메뉴판에서 가장 눈에 띄는 대표 메뉴는요?,5
특별한 날에 많이 팔리는 대표 메뉴는요?,5
단골손님들이 항상 찾는 대표 메뉴는 뭔가요?,5
고객 후기에서 가장 많이 언급되는 대표 메뉴는요?,5
혼자서 즐기기 좋은 대표 메뉴는 뭔가요?,5
가장 신선한 재료로 만든 대표 메뉴는요?,5
SNS 인증샷으로 인기 있는 대표 메뉴는?,5
점원이 추천하는 대표 메뉴는 뭔가요?,5
다른 지점에서도 유명한 대표 메뉴는요?,5
방문객들이 가장 자주 찾는 대표 메뉴는요?,5
가족들이 함께 먹기 좋은 대표 메뉴는요?,5
이곳의 전통을 담은 대표 메뉴는 무엇인가요?,5
지금 진행 중인 할인 메뉴가 있나요?,6
오늘의 할인 이벤트는 무엇인가요?,6
이벤트 메뉴 있나요?,6
할인받을 수 있는 세트 메뉴가 있나요?,6
할인 메뉴 뭐 있어,6
이벤트 메뉴 알려줘,6
특정 시간대에 할인되는 메뉴가 있나요?,6
첫 방문자를 위한 할인 메뉴가 있나요?,6
이달의 할인 메뉴를 추천받을 수 있나요?,6
단체 고객을 위한 할인 이벤트가 있나요?,6
테이크아웃 할인 메뉴가 있나요?,6
매장에서만 받을 수 있는 특별 할인 메뉴는요?,6
SNS에 올리면 할인되는 메뉴가 있나요?,6
학생 할인을 받을 수 있는 메뉴가 뭔가요?,6
온라인 주문 시 할인이 되는 메뉴가 있나요?,6
특정 음료와 함께 주문하면 할인받는 메뉴는요?,6
커플 할인이 적용되는 메뉴는 뭔가요?,6
무료로 제공되는 메뉴가 포함된 프로모션이 있나요?,6
할인 메뉴 있나요?,6
재방문 고객을 위한 할인 혜택이 있나요?,6
현재 진행 중인 시즌 이벤트 메뉴는요?,6
단골손님 할인 메뉴가 있나요?,6
이벤트 하는 메뉴 있습니까?,6
특정 메뉴 구매 시 추가로 할인받을 수 있는 메뉴는요?,6
포인트로 결제 가능한 할인 메뉴가 있나요?,6
선착순으로 할인받을 수 있는 메뉴가 있나요?,6
할인 메뉴 있나요?,6
이벤트 메뉴 있나요?,6
할인 되는 메뉴 뭐야?,6
이벤트 적용중인 메뉴 있나요?,6
할인 하는 메뉴가 있습니까?,6
할인이나 이벤트 하는 메뉴 있어요?,6
할인중인 메뉴 있음?,6
할인 메뉴 있으면 알려줘,6
이벤트 메뉴 있으면 알려줘봐,6
메뉴 중 이벤트 하는 메뉴 있니?,6
메뉴 중 할인 하는 메뉴 있니?,6
메뉴들 중에 이벤트 메뉴 있으면 알려주세요,6
메뉴들 중에 할인 하는 메뉴 있으면 알려줘,6
1+1 메뉴 행사 언제까지 진행하나요?,33
1+1 메뉴 있나요?,33
1+1 메뉴 알려줘,33
1+1 메뉴 있어?,33
1+1 행사 중인 메뉴가 뭔가요?,33
원플러스 원 중인 메뉴가 있나요?,33
원플러스 원인 메뉴가 있나요?,33
원플러스 원을 하는 중인 메뉴가 있나요?,33
원플원 메뉴있어?,33
원플러스원 메뉴 있어?,33
1+1 행사 하나요?,33
원플러스원 행사 해?,33
원플원 행사 진행중이야?,33
원플러스원 메뉴가 있는지 알려줄래?,33
메뉴 중에 원플러스 원 되는 메뉴 있어?,33
메뉴들 중에 1+1 가능한거 있어?,33
메뉴 중 원플원 되는거 있음?,33
원플러스 원 되나요?,33
원플원 있나요?,33
1+1 메뉴 있는지 알려줄 수 있니?,33
원플러스 원 메뉴 알려줘,33
메뉴 중 원플러스원 메뉴 있어?,33
원플러스 원 있으면 알려줘,33
1+1 하는거 있니?,33
하나 사면 하나 더 주는 메뉴가 있니?,33
하나 사면 하나 더 주는 메뉴 있으면 알려줄래?,33
하나 살때 하나 더 주는 거 있어?,33
하나 살때 하나 더 주는 거 있는지 알려줘,33
최근에 추가된 신메뉴가 있나요?,7
이번 달 새로 나온 메뉴는 뭔가요?,7
새로운 메뉴 알려줘,7
새로운 디저트 메뉴가 있나요?,7
이번 시즌에 나온 신메뉴는 뭐예요?,7
요즘 나온 메뉴 있어?,7
특별히 주목할 만한 신메뉴가 뭔가요?,7
최근 추가된 음료 신메뉴는 뭐가 있나요?,7
가장 최신 메뉴 뭐야?,7
가장 최근에 나온 메뉴 알려주라,7
이번에 나온 메뉴 뭐야?,7
새로운 세트 메뉴가 추가되었나요?,7
요즘 트렌드를 반영한 신메뉴는 뭐가 있나요?,7
요즘 나온 음식 알려줘,7
다이어트 중에도 먹을 수 있는 신메뉴가 있나요?,7
신선한 재료를 사용한 신메뉴가 있나요?,7
이번에 무슨 요리가 추가됐어?,7
신메뉴 알려줘봐,7
최신 메뉴 뭐야,7
친구들과 즐기기 좋은 신메뉴는 뭐예요?,7
가성비 좋은 신메뉴가 있나요?,7
신메뉴 뭐 있어?,7
신메뉴 알고 있는거 있니?,7
새로운 메뉴 알고 싶어,7
고객 반응이 좋은 신메뉴가 뭔가요?,7
특별한 날을 위한 신메뉴가 있나요?,7
점심 시간에 인기 있는 신메뉴는 뭐예요?,7
이번에 나온거 알려줘봐,7
테이크아웃하기 좋은 신메뉴는요?,7
혼자 먹기 좋은 신메뉴가 있나요?,7
요즘 나온 요리 소개해줘,7
단체 모임에 적합한 신메뉴가 있나요?,7
이번에 추가된 고급스러운 신메뉴는 뭔가요?,7
최신 메뉴 소개해줘,7
신메뉴 소개좀,7
신메뉴 뭐야?,7
신메뉴 중에서 달콤한 디저트는 뭐가 있나요?,7
파티에 어울리는 신메뉴가 있나요?,7
최근 리뷰가 좋은 신메뉴는 어떤 건가요?,7
가족들과 함께 먹기 좋은 신메뉴가 있나요?,7
지금만 먹을 수 있는 한정 메뉴가 있나요?,7
이번 시즌 한정 메뉴는 어떤 게 있나요?,8
한정 메뉴 있어?,8
여름에만 맛볼 수 있는 한정 메뉴는 뭐예요?,8
겨울 시즌에만 나오는 한정 메뉴는요?,8
지금 시즌만 파는 메뉴 있나요?,8
한정 메뉴 뭐 있어?,8
이번 달만 판매하는 메뉴가 있나요?,8
한정 수량으로 판매되는 메뉴가 있나요?,8
이번에만 먹을 수 있는 메뉴가 뭐야?,8
한정 메뉴는 있어?,8
한정 메뉴가 뭔지 알려줘라,8
고객들이 많이 찾는 한정 메뉴가 뭔가요?,8
이번에 새롭게 추가된 한정 메뉴는요?,8
이번에만 살 수 있는 메뉴는?,8
계절별로 바뀌는 한정 메뉴가 있나요?,8
SNS에서 인기 있는 한정 메뉴는 뭔가요?,8
하절기에 판매하는 메뉴 있나요?,8
지역 한정 메뉴가 있나요?,8
친구들과 나눠 먹기 좋은 한정 메뉴는요?,8
동절기에 파는 메뉴 있어?,8
단체 손님에게 추천할 한정 메뉴는요?,8
한정 메뉴 뭐 팔아?,8
특별한 날에 어울리는 한정 메뉴는요?,8
한정 메뉴의 판매 기간은 얼마나 되나요?,8
한정적으로 살 수 있는 메뉴 있어?,8
한정 메뉴 뭐 파는지 말해줄 수 있니?,8
가족과 함께 먹기 좋은 한정 메뉴는요?,8
고객 반응이 좋은 한정 메뉴가 뭔가요?,8
이번에만 살 수 있는 메뉴 있어?,8
특별히 재료를 신경 쓴 한정 메뉴가 있나요?,8
한정 메뉴 중에서 디저트는 어떤 게 있나요?,8
건강을 생각한 한정 메뉴가 있나요?,8
여름 특선 메뉴 따로 있어?,8
겨울 특선 메뉴 따로 있어?,8
외국인들에게 추천할 만한 한정 메뉴가 있나요?,8
한정 메뉴 있음?,8
재료 소진 시까지 판매되는 메뉴는 어떤 건가요?,8
이번 기간에만 살 수 있는 메뉴 뭐 있어?,8
여기서 가장 매운 메뉴는 뭔가요?,9
매운 메뉴 있어?,9
매운 맛 메뉴 뭐 있어?,9
매운맛 정도를 선택할 수 있는 메뉴가 있나요?,9
매운거 있나요?,9
매운맛 초보자를 위한 메뉴가 있나요?,9
매운맛 좋아하는 사람들이 찾는 메뉴는요?,9
매운 메뉴 있을까요?,9
매운 메뉴 파나요?,9
매운맛 메뉴 있어?,9
매운맛을 느낄 수 있는 메뉴 있어?,9
매운맛 정도를 세분화한 메뉴가 있나요?,9
매운 소스를 사용하는 메뉴가 있나요?,9
매운거 뭐가 있나요?,9
매운 메뉴 있니?,9
매운거 어떤게 있는지 알려줘봐,9
외국인들에게도 인기 있는 매운맛 메뉴는요?,9
매운맛을 강조한 신메뉴가 나왔나요?,9
매콤한거 있어?,9
많이 매운거 있니?,9
매콤한 메뉴 추천해줘,9
알싸한 메뉴 있나요?,9
달콤한 맛과 매운맛이 조화로운 메뉴는요?,9
매운맛의 끝판왕 메뉴가 있나요?,9
매운맛 메뉴 중에서 적당한 것은 어떤 건가요?,9
자극적인 메뉴 있나요?,9
신선한 재료를 사용한 매운맛 메뉴가 있나요?,9
매운맛 소스를 추가할 수 있는 메뉴가 있나요?,9
가족과 함께 즐길 수 있는 매운맛 메뉴는요?,9
자극적이고 알싸한 메뉴 있어?,9
술과 잘 어울리는 매운맛 메뉴는 어떤 건가요?,9
매운 메뉴가 뭐가 있을까요?,9
최근 가장 많이 팔린 매운맛 메뉴는 뭔가요?,9
알싸한거 있어?,9
단체 손님에게 추천할 매운맛 메뉴는요?,9
칼칼한거 있어?,9
칼칼한 메뉴 뭐 있어?,9
칼칼한 메뉴 추천해줘,9
알싸한 메뉴 있는거 알려줘봐,9
혀가 얼얼한 메뉴 있어?,9
혀를 얼얼하게 만드는 메뉴 알려줘,9
혀를 얼얼하게 하는 메뉴 추천해봐,9
어떤 종류의 메뉴를 제공하나요?,0
여기에서 제공하는 음식 종류가 뭐예요?,0
카테고리가 어떻게 나뉘어져 있나요?,0
메뉴를 대략적으로 알려주실 수 있나요?,0
여기에서 어떤 음식을 시킬 수 있나요?,0
메뉴는 어떤 식으로 구성되어 있나요?,0
주문할 수 있는 요리는 어떤 게 있나요?,0
주문 가능한 음식 목록 알려 주세요.,0
메뉴 구성이 어떻게 되나요?,0
이 가게에서 팔고 있는 음식은 어떤 게 있나요?,0
식사 메뉴 선택지를 알고 싶어요.,0
음식 종류 좀 더 자세히 알려 주세요.,0
현재 제공하는 요리 목록 볼 수 있나요?,0
판매 중인 음식 메뉴 설명 부탁드려요.,0
가게에서 파는 모든 음식 종류를 알려 주세요.,0
판매 중인 요리 종류가 어떻게 되나요?,0
디저트 파나요?,0
디저트 카테고리 있나요?,0
디저트 메뉴가 있나요?,0
음식 선택지는 뭐가 있나요?,0
이곳에서 제공하는 음식 목록이 궁금해요.,0
현재 판매하고 있는 음식 종류가 어떻게 되나요?,0
메뉴판에 있는 모든 요리를 알려 주세요.,0
제공되는 음식 종류를 볼 수 있나요?,0
가게에서 팔고 있는 요리 종류가 궁금합니다.,0
이곳에서 제공하는 음식은 무엇인가요?,0
판매하고 있는 모든 요리를 보고 싶습니다.,0
현재 판매 중인 음식 목록을 알려 주세요.,0
주문 가능한 음식이 어떤 게 있나요?,0
가게에서 주문할 수 있는 모든 메뉴가 궁금합니다.,0
제공하는 모든 음식 종류를 알려 주세요.,0
판매하는 요리 종류가 어떻게 되나요?,0
가게에서 어떤 음식을 팔고 있는지 알고 싶어요.,0
제공되는 요리 목록을 확인하고 싶어요.,0
이곳에서 주문 가능한 음식은 어떤 것들이 있나요?,0
제공하는 음식 종류를 자세히 알려 주세요.,0
음식 메뉴 구성이 어떻게 되는지 궁금합니다.,0
현재 판매 중인 모든 음식을 확인하고 싶습니다.,0
주문 가능한 요리 목록을 알고 싶어요.,0
판매 중인 음식 종류가 어떤 게 있습니까?,0
제공하는 음식 리스트를 보고 싶습니다.,0
음식 메뉴가 어떻게 구성되어 있는지 궁금합니다.,0
주문 가능한 모든 음식 종류를 확인하고 싶습니다.,0
가게에서 팔고 있는 메뉴를 보여 주세요.,0
음식 선택 옵션이 어떤 게 있나요?,0
현재 메뉴판에 있는 모든 음식을 보고 싶어요.,0
현재 주문 가능한 음식 리스트를 보고 싶습니다.,0
음식 종류를 상세히 알려 주세요.,0
제공되는 음식 종류를 보고 싶습니다.,0
메뉴 구성 내용을 확인하고 싶습니다.,0
주문할 수 있는 모든 음식 종류를 알고 싶어요.,0
제공하는 음식 리스트를 확인할 수 있나요?,0
주문 가능한 메뉴를 알고 싶습니다.,0
제공하는 음식 종류를 알고 싶습니다.,0
판매하고 있는 음식이 어떤 게 있는지 알고 싶어요.,0
음식 선택 메뉴가 궁금합니다.,0
현재 음식 종류가 어떤 게 있는지 알려 주세요.,0
주문할 수 있는 음식 종류가 무엇인가요?,0
판매하고 있는 모든 요리를 알고 싶어요.,0
가게에서 제공하는 요리 종류를 확인하고 싶어요.,0
판매하고 있는 음식이 무엇인지 알려 주세요.,0
음식 메뉴판 내용을 자세히 확인하고 싶어요.,0
현재 주문 가능한 음식이 어떤 게 있는지 보고 싶습니다.,0
가게의 모든 요리 목록을 보고 싶어요.,0
판매 중인 요리 종류가 무엇인지 알려 주세요.,0
가게의 음식 메뉴판을 보고 싶어요.,0
음식 종류 리스트를 알려 주세요.,0
현재 판매 중인 음식이 무엇인지 알고 싶습니다.,0
제공하는 모든 요리를 보고 싶어요.,0
가게에서 제공하는 음식이 어떤 게 있는지 궁금합니다.,0
현재 판매 중인 모든 음식을 보고 싶어요.,0
판매하는 모든 음식 리스트를 확인하고 싶습니다.,0
제공되는 음식 목록이 어떻게 되는지 알고 싶어요.,0
쟁반짜장 얼마야?,1
고기짬뽕 얼마야?,1
고기짜장 얼마야?,1
고추짬뽕 얼마야?,1
고추짜장 얼마야?,1
짬뽕 얼마야?,1
짜장 얼마야?,1
탕짬면 얼마야?,1
탕짜면 얼마야?,1
백짬뽕 얼마야?,1
냉짬뽕 얼마야?,1
볶음짬뽕 얼마야?,1
15주년행사 짜장면 얼마야?,1
15주년행사 짬뽕 얼마야?,1
굴짬뽕 얼마야?,1
행사 탕짜면 얼마야?,1
탕짬밥 얼마야?,1
탕짜밥 얼마야?,1
만능매운소스 얼마야?,1
고기짬뽕밥 얼마야?,1
고추짬뽕밥 얼마야?,1
짬뽕밥 얼마야?,1
짜장밥 얼마야?,1
15주년행사 짜장밥 얼마야?,1
15주년행사 짬뽕밥 얼마야?,1
15주년행사 고추짬뽕밥 얼마야?,1
15주년행사 고기짬뽕밥 얼마야?,1
굴짬뽕 밥 얼마야?,1
백짬뽕 밥 얼마야?,1
계란후라이 얼마야?,1
공기밥 얼마야?,1
해쉬브라운 얼마야?,1
만능매운소스 5개 얼마야?,1
양념소스 얼마야?,1
짬뽕국물 얼마야?,1
3천원할인 식사2인 탕수육 얼마야?,1
2인세트 얼마야?,1
2천원할인 쟁반짜장 탕수육 얼마야?,1
2천원할인 식사2인 탕수육 얼마야?,1
4인세트 얼마야?,1
3인세트 얼마야?,1
1인세트 얼마야?,1
식사 4인세트 얼마야?,1
깐풍새우 얼마야?,1
깐풍기 얼마야?,1
꿔바러우 얼마야?,1
쟁반볶음짬뽕 얼마야?,1
크림새우 얼마야?,1
10병 한정할인 연태고량주 소 얼마야?,1
10병 한정할인 연태고량주 중 얼마야?,1
초록매실 얼마야?,1
환타 얼마야?,1
사이다 얼마야?,1
제로콜라 얼마야?,1
펩시콜라 얼마야?,1
스프라이트 얼마야?,1
코카콜라 얼마야?,1
제로스프라이트 얼마야?,1
뽀로로 얼마야?,1
제로펩시 얼마야?,1
암바사 얼마야?,1
연태고량주 얼마야?,1
켈리 얼마야?,1
카스 얼마야?,1
대선 얼마야?,1
새로 얼마야?,1
좋은데이 얼마야?,1
처음처럼 얼마야?,1
참이슬 오리지널 얼마야?,1
참이슬 후레쉬 얼마야?,1
진로 얼마야?,1
국산소주 얼마야?,1
국산맥주 얼마야?,1
칭따오 얼마야?,1
테라 얼마야?,1
만만춘 얼마야?,1
홍콩 하이볼 얼마야?,1
미상 하이볼 얼마야?,1
니하오 얼마야?,1
산지천 얼마야?,1
행사생맥주 얼마야?,1
5천원할인 연태구냥 중 얼마야?,1
산지천 반병 얼마야?,1
5천원할인 산지천 얼마야?,1
단팥춘권 얼마야?,1
멘보샤 얼마야?,1
연유꽃빵 얼마야?,1
군만두 얼마야?,1
치킨반반탕슉 얼마야?,1
탕수육 얼마야?,1
군만두 반접시 얼마야?,1
15주년행사 탕수육 얼마야?,1
해물육교자 얼마야?,1
탕수육 있나요?,1
짜장면에 선택사항이나 옵션이 있나요?,2
짜장면에 탕수육 추가하면 얼마야?,2
탕수육이 포함된 세트 메뉴가 있을까요?,2
탕수육 소스는 따로 나오나요?,2
짜장면에 면 추가 가능한가요?,2
3인분 메뉴 있나요?,2
3인분부터 무엇이 가능할까요?,2
메뉴는 몇 개까지 주문 가능한지 알려줄래요?,2
몇 개 까지 주문 돼?,2
짬뽕에 고기 추가할 수 있나요?,2
세트 메뉴에는 어떤 음료가 포함되나요?,2
탕수육 소스는 달콤한 맛과 매운 맛 중 선택 가능한가요?,2
짜장면에 달걀 추가는 무료인가요?,2
짬뽕 국물만 추가로 받을 수 있나요?,2
탕수육은 부드러운 고기로 만들어지나요?,2
짜장면과 짬뽕 반반 메뉴도 있나요?,2
세트 메뉴는 몇 인분 기준인가요?,2
탕수육을 반반 소스로 주문할 수 있나요?,2
짜장면을 매운 버전으로 주문 가능해요?,2
짬뽕의 매운맛 조절이 가능한가요?,2
탕짜면에 선택 가능한 옵션이 있나요?,2
짜장면과 짬뽕 사이즈 변경 가능한가요?,2
세트 메뉴에서 밥 추가는 무료인가요?,2
탕수육이 튀긴 상태로 바로 나오는 건가요?,2
짬뽕 해물은 종류를 선택할 수 있나요?,2
짜장면에 밥 추가 주문이 가능한가요?,2
탕수육 대자에 몇 인분 정도가 포함되나요?,2
짬뽕에 고기 대신 해물로 바꿀 수 있나요?,2
탕수육 소스를 덜 달게 해달라고 요청할 수 있나요?,2
세트 메뉴를 나눠서 포장할 수 있나요?,2
짜장면을 기름지지 않게 조리 가능할까요?,2
탕수육 고기 비율은 어떻게 되나요?,2
짜장면 위에 올라가는 재료를 선택할 수 있나요?,2
짬뽕 면을 쌀국수로 바꿀 수 있나요?,2
짜장면 맛있나요?,2
탕수육 고기가 부드럽나요?,2
초밥 신선한가요?,2
피자 치즈가 많이 들어가나요?,2
치킨은 어떤 양념이 있나요?,2
햄버거 패티가 두꺼운가요?,2
샌드위치에 소스 추가할 수 있나요?,2
스파게티는 토마토 소스가 진한가요?,2
스테이크는 미디엄으로 나오나요?,2
김밥에 치즈 추가 가능한가요?,2
떡볶이는 얼마나 매운가요?,2
커피는 직접 로스팅한 건가요?,2
아이스크림은 어떤 맛이 가장 인기 있나요?,2
샐러드는 드레싱 선택 가능한가요?,2
파스타에 해산물이 포함되나요?,2
핫도그 빵은 바삭한가요?,2
국밥은 맑은 국물인가요?,2
초콜릿 케이크는 진한 초콜릿 맛인가요?,2
만두는 직접 빚은 건가요?,2
국수는 면발이 부드러운가요?,2
버블티 펄은 쫀득한가요?,2
볶음밥은 밥이 고슬고슬한가요?,2
탕후루는 과일 종류가 다양하나요?,2
타코에 고수 빼고 주문할 수 있나요?,2
샤브샤브 국물이 진한가요?,2
에그타르트는 따뜻하게 나오나요?,2
프라이드 치킨은 바삭한가요?,2
초밥 세트에 몇 가지 종류가 들어가나요?,2
팬케이크는 두꺼운 편인가요?,2
우동 국물은 짠 편인가요?,2
덮밥은 소스를 따로 줄 수 있나요?,2
와플은 크림이 포함되나요?,2
고마워요.,45
알려줘서 고마워요.,45
정말 감사합니다.,45
친절하게 설명해줘서 고마워요.,45
도움 많이 됐어요.,45
너 되게 잘 알려준다.,45
빠르게 답해줘서 고마워요.,45
덕분에 쉽게 이해했어요.,45
좋은 정보 알려줘서 고맙습니다.,45
덕분에 문제 해결됐어요.,45
네가 있어서 다행이에요.,45
정말 큰 도움 됐어요.,45
설명 깔끔하게 해줘서 고마워요.,45
성의 있게 답해줘서 감사해요.,45
네 덕분에 쉽게 알게 됐어요.,45
귀찮게 했는데도 잘 답해줘서 고마워요.,45
아주 만족스러운 답변이었어요. 고마워요.,45
다시 한 번 감사드립니다.,45
도움이 많이 됐어요. 고맙습니다.,45
말투도 친절해서 좋았어요. 고마워요.,45
정말 친절하네요. 감사합니다.,45
빠른 답변에 감사드려요.,45
덕분에 마음이 편해졌어요. 고마워요.,45
아주 자세하게 설명해줘서 고맙습니다.,45
고생 많았어요. 감사해요.,45
네가 최고야! 고마워요!,45
"이렇게 빠르게 처리해주다니, 감사합니다.",45
정말 큰 도움이 됐습니다. 고마워요.,45
고마워.,45
알려줘서 고마워.,45
진짜 고맙다.,45
너 진짜 잘 알려준다.,45
덕분에 알았어.,45
도움 많이 됐어.,45
시간 내줘서 고마워.,45
"네가 짱이야, 고마워.",45
"문제 해결됐어, 고마워!",45
친절하게 알려줘서 고맙다.,45
덕분에 쉽게 이해했어.,45
깔끔하게 설명해줘서 고맙다.,45
진짜 친절하네. 고맙다.,45
큰 도움 됐어. 고마워.,45
빠르게 답해줘서 고마워.,45
너 덕분에 잘 됐어. 고맙다.,45
너랑 얘기하길 잘했어. 고마워.,45
성의 있게 알려줘서 고맙다.,45
귀찮게 했는데도 잘 답해줘서 고마워.,45
다시 한 번 고마워.,45
설명 좋았어. 고마워.,45
네가 있어서 다행이야. 고마워.,45
"친절하네, 고마워.",45
진짜 최고야. 고마워!,45
도움이 많이 됐어. 고마워.,45
네 덕분에 해결했어. 고맙다.,45
네가 잘해줘서 기분 좋았어. 고마워.,45
간단하게 알려줘서 편했어. 고마워.,45
진짜 좋은 얘기였어. 고맙다.,45
안녕,46
안녕하세요,46
"오, 너가 전화응대봇이구나 반가워.",46
반갑습니다.,46
"어, 안녕!",46
전화응대봇이죠? 만나서 반가워요.,46
여보세요?,46
"아, 너가 AI 봇이구나, 반갑다!",46
"안녕하세요, 잘 부탁드려요.",46
헬로우~,46
"반가워요, 전화응대봇님.",46
오랜만이에요.,46
"안녕, 오늘 잘 지냈어?",46
너랑 이야기하게 돼서 기뻐.,46
하이!,46
안녕하십니까.,46
만나서 반갑습니다.,46
"오, 이런 서비스가 있군요. 안녕하세요.",46
"응, 안녕.",46
전화응대 봇이죠? 처음 뵙겠습니다.,46
"오랜만에 인사드려요, 안녕하세요.",46
"어, 안녕하세요, 너랑 처음 통화하네요.",46
"헬로, 여기 맞나요?",46
너랑 이야기 시작하기 전에 인사할게. 안녕.,46
여보세요? 인공지능 봇이죠? 반가워요.,46
"처음 통화하는데, 안녕하세요.",46
오늘은 네가 도와주는 거 맞아? 반갑다.,46
"하이, 너의 도움을 기대하고 있어.",46
"어, 안녕! 넌 진짜 인공지능 맞아?",46
"여보세요, 만나서 반가워요.",46
"안녕, 너랑 대화해보고 싶었어.",46
"어, 안녕하세요!",46
"오, 이게 AI 응대봇이구나. 안녕!",46
만나서 반가워.,46
"여보세요, 너가 응대해주는 거야?",46
처음 만나네. 안녕!,46
"오늘도 잘 부탁해, 안녕!",46
"오, 새로운 친구 만나서 좋네. 안녕!",46
"인공지능 전화응대봇, 반갑습니다.",46
반갑다. 잘 부탁해.,46
안녕? 너 정말 대화할 수 있는 거야?,46
"오, 안녕! 네가 나 도와줄 거지?",46
"헬로, AI 친구야.",46
안녕하십니까. 오늘도 도와주실 거죠?,46
"반갑습니다, 처음 통화하는 거 같네요.",46
"어이, AI야. 안녕.",46
"오, 너랑 얘기하게 되다니! 안녕.",46
오늘 기분 좋아 보이네. 안녕!,46
"어, 반가워. 여기 맞지?",46
처음이지만 인사부터 할게. 안녕!,46
